"plot","temp","obs","NM_95"
"1.1",8.26468715985728,0.814485757992074,0.440078778933027
"1.2",8.26468715985728,0.742761872986889,0.259864761593383
"2.1",6.68948848980077,0.541744732234043,0.315765419038773
"2.2",6.68948848980077,0.651065826299568,0.342464859872436
"3.1",6.49382786885246,0.70097386811513,0.340092209346024
"3.2",6.49382786885246,0.675233767815068,0.3199271634933
"4.1",7.00820256699509,0.480566748809496,0.307776177057701
"4.2",7.00820256699509,0.548713014128457,0.23795102381148
"5.1",5.94858606557377,0.284623187059693,0.397798187538208
"5.2",5.94858606557377,-0.416027687438738,0.227810776524729
"6.1",5.68198998178506,0.503607338220854,0.374551532029428
"6.2",5.68198998178506,0.260022451424988,0.328414347506658
"7.1",5.11376858325671,0.548924148243422,0.306085371437835
"7.2",5.11376858325671,0.651491086171719,0.296413116292776
"8.1",4.54554718472835,0.657530037927998,0.39829432048109
"8.2",4.54554718472835,0.731708064949546,0.490476649229795
"9.1",3.80643230115361,0.533814889303479,0.43830854210147
"9.2",3.80643230115361,0.766365090675618,0.460369301240368
